NH4inf,FA,FNA,Day,O2,pH,HRT,Temperature,Candidatus Kuenenia,Candidatus Brocadia,AnAOB,AOB,NOB,NLR,NRR
35.1,0.2,1.07,108,0.48,7.08,4,20,2.6,4.2,6.8,1,0.1,0.21,0.17
30.9,0.12,1.52,151,1.17,7.09,4,15,3.8,7.6,11.4,1,0.2,0.19,0.13
238.81,29.53,1.96,145,0.05,8.3,8,25,32.31,0.02,32.33,0.55,0,0.72,0.41
585.47,133.62,0.47,196,0.09,8.61,16,25,26.2,0,26.2,1.84,0,0.88,0.71
615.7,84.37,0.86,231,0.05,8.35,16,25,26.64,0.01,26.65,3.19,0,0.92,0.45
323.46,49.06,0.77,300,0.04,8.4,16,25,18.25,0,18.25,5.65,0,0.49,0.36
307.34,32.16,1.16,350,0.02,8.22,16,25,21.2,0,21.2,1.72,0,0.46,0.34
50,1.34,0.14,100,0.13,7.6,2,25,27.6,2.3,29.9,10.5,8.2,0.6,0.43
27.29,0.22,0,33,0.15,7.4,19.29,14.83,0,1.12,1.12,0.5,0.17,0.03,0.03
18.77,0.16,0,49,0.45,7.4,20.07,15.35,0,8.65,8.65,0.42,0.31,0.02,0.01
17.57,0.15,0,65,1.19,7.4,9.4,15.88,0,7.81,7.81,0.35,0.55,0.04,0.02
21.18,0.18,0,79,1.19,7.4,8.88,15.14,0,5.62,5.62,0.43,0.55,0.06,0.03
22.57,0.23,0,97,1.19,7.4,6.91,17.94,0,8.71,8.71,0.57,0.39,0.08,0.05
22.3,0.19,0,117,0.18,7.4,9.03,15.4,0,10.34,10.34,1.13,0.4,0.06,0.03
20.63,0.18,0,131,0.18,7.4,11.11,15.83,0,8.65,8.65,0.46,0.81,0.04,0.03
24.24,0.2,0,148,0.18,7.4,10.59,15.14,0,9.6,9.6,0.48,0.57,0.05,0.03
26.74,0.22,0,168,0.18,7.4,12.19,14.95,0,10.74,10.74,0.38,0.46,0.05,0.03
29.24,0.24,0,197,0.18,7.4,12.45,15.09,0,12.42,12.42,0.27,0.47,0.06,0.04
30.08,0.26,0,219,0.18,7.4,11.67,15.57,0,14.78,14.78,0.18,0.76,0.06,0.05
34.52,0.29,0,247,0.18,7.4,13.11,15.26,0,15.23,15.23,0.43,0.74,0.06,0.05
27.03,0.25,0,261,0.18,7.4,11.78,16.76,0,12.76,12.76,0.42,0.59,0.06,0.04
21.74,0.18,0,274,0.18,7.4,10.07,15.44,0,8.93,8.93,0.47,0.56,0.05,0.04
20.9,0.18,0,303,0.18,7.4,11.67,15.35,0,12.08,12.08,0.35,0.87,0.04,0.04
21,0.18,0,317,0.18,7.4,12.97,15.22,0,15.11,15.11,0.23,0.78,0.04,0.03
21.09,0.18,0,342,0.18,7.4,14.82,15.35,0,13.55,13.55,0.28,0.71,0.03,0.03
21.36,0.2,0.22,352,0.17,7.4,22.45,16.76,0,9.49,9.49,0.33,0.59,0.02,0.02
23.03,0.2,0.63,391,1.22,7.4,12.3,15.52,0,8.48,8.48,0.8,0.6,0.04,0.04
20.34,0.18,0.7,401,1.22,7.4,11.67,15.66,0,7.98,7.98,2.03,1.35,0.04,0.03
31.46,0.27,1.49,418,1.21,7.4,10.22,15.44,0,3.26,3.26,1.77,0.54,0.07,0.06
17.28,0.15,0.62,434,1.21,7.4,9.67,15.4,0,10.46,10.46,0.98,0.8,0.04,0.04
19.24,0.23,0.91,461,1.58,7.4,7.32,19.74,0,11.91,11.91,1.41,1.79,0.06,0.05
25.35,0.26,1.02,475,1.58,7.4,8.62,17.77,0,20.23,20.23,1.35,1.45,0.07,0.06
23.03,0.2,1.13,490,1.58,7.4,18.62,15.88,0,15.11,15.11,1.46,1.44,0.03,0.02
19.13,0.18,0.86,496,1.58,7.4,11.52,16.58,0,15.4,15.4,1.42,1.3,0.04,0.03
15.72,0.13,0.37,501,1.58,7.4,11.67,15,0,19.17,19.17,1.21,1.47,0.03,0.03
22.39,0.19,0.2,516,0.18,7.4,16.65,15.49,0,5,5,1.79,2.09,0.03,0.03
31.29,0.27,0.54,549,0.18,7.4,10.85,15.83,0,7.65,7.65,1.32,1.29,0.07,0.06
