NH4+-Ninf ,NH4+-Neff,NO2--Neff,FA,FNA,O2,pH,HRT,Temperature,NLR,NRR,Candidatus Kuenenia
963,12.1,2.5,102.9,0.11,0.1,8.23,24,25,0.96,0.88,13.76
1495,30.4,7.3,132.02,0.4,0.02,8.14,36,25,1,0.91,20.07
2112,207,57.1,194.63,2.98,0.2,8.16,50.5,25,1,0.85,8.83
251.99,131.04,36.55,24.08,2.56,0.15,7.95,12,32.5,0.5,0.17,8.2
249.06,39.88,21.4,23.8,1.5,0.21,7.95,12,32.5,0.5,0.37,10.4
266.88,27.02,14.12,25.5,0.99,0.44,7.95,8,32.5,0.8,0.64,0.3
220.4,27.02,4.89,21.06,0.34,0.8,7.95,6,32.5,0.88,0.68,0
240.26,18.89,2.27,22.95,0.16,0.21,7.95,4,32.5,1.44,1.16,0
331.08,15.09,6.06,13.99,0.9,1.9,7.65,1.5,30,2.5,2.3,35.4
71.5,17.91,5.27,1.24,1.36,1.36,7.5,18,22,0.1,0.06,0
67.42,1.23,0.54,1.17,0.14,0.99,7.5,17,22,0.1,0.09,0
50.75,32.16,0.01,2.14,0,1,7.65,12,30,0.1,0.01,0
58.15,3.7,0.01,2.46,0,1,7.65,12,30,0.12,0.1,0
250,16.28,3.59,13.11,0.34,0.29,7.9,6,25,1,0.81,0
250,10.72,3.15,13.11,0.3,0.37,7.9,6,25,1,0.93,0
250,101.98,3.15,13.11,0.3,0.51,7.9,6,25,1,0.57,0
147.49,41.36,27.16,13.38,1.81,0.03,8,8,30,0.44,0.08,0.13
249.64,115.85,54.31,22.64,3.61,0.04,8,8,30,0.75,0.14,0.07
248.53,101.88,40.36,22.54,2.68,0.06,8,8,30,0.75,0.25,0.08
251.98,111.96,2.7,22.86,0.18,0.09,8,6,30,1.01,0.42,0.71
270.28,65.29,2.7,24.52,0.18,0.06,8,6,30,1.08,0.69,1.09
347.71,76.69,0.58,31.54,0.04,0.08,8,6,30,1.39,0.97,4.72
60.2,0.01,0.01,0.69,0,0.7,7.2,15.85,25.8,0.09,0.09,0
59.6,0.01,0.01,0.44,0,0.7,7.2,18.79,19.7,0.08,0.07,0
49.57,0.01,0.01,0.23,0,0.7,7.2,20.66,13.7,0.06,0.05,0
354.56,43.44,8.17,19.97,0.94,0.1,7.75,24,31,0.35,0.28,0
393.36,8.17,7.11,22.15,0.82,0.1,7.75,20,31,0.47,0.37,0
418.11,12.71,9.18,23.55,1.06,0.1,7.75,12,31,0.84,0.71,0
46.9,3.63,0.49,0.51,0.23,0.8,7.2,12,25,0.09,0.08,0.03
52.22,12.5,0.1,0.57,0.05,0.8,7.2,12,25,0.1,0.07,0.03
42.11,27.75,0.7,0.65,0.29,0.8,7.2,16,30,0.06,0.02,0.03
51.87,17.04,0.1,0.8,0.04,0.8,7.2,16,30,0.08,0.05,0.03
55.74,24.16,7.62,0.86,3.2,1.5,7.2,16,30,0.08,0.03,0.03
50.05,22.47,5.25,0.77,2.2,1.5,7.2,16,30,0.08,0.03,1.86
43.27,2.67,0.37,0.47,0.18,0.8,7.2,12,25,0.09,0.08,0.03
70.7,56.53,0.98,2.97,0.12,0.8,7.8,0.5,25,2.5,0.53,20
51.56,21.43,1.31,2.18,0.19,0.55,7.65,5.7,30,0.22,0.06,0
66.03,0.01,0.72,2.79,0.11,2.5,7.65,6.42,30,0.25,0.04,0
312.5,17.42,6.57,34.1,0.29,0.05,8.24,6,25,1.25,1.03,24.3
500,134.39,6.57,37.99,0.42,0.05,8.07,6,25,2,1.27,26.03
793.57,51.53,11.03,135.92,0.3,0.09,8.43,15,26,1.27,1.03,29.61
918.9,157.46,14.15,90.43,0.72,0.08,8.16,15,26,1.47,1.15,22.73
1072.84,18.04,7.92,245.28,0.15,0.27,8.58,15,26,1.72,1.49,17.07
912.09,408.25,18.04,108.4,0.75,0.02,8.25,15,26,1.46,0.75,15.19
864.41,140.32,18.04,123.6,0.61,0.02,8.34,15,26,1.38,1.01,13.98
50,2.98,3.89,1.28,0.77,0.25,7.58,3,25,0.4,0.26,5.44
50,0.71,1.54,1.28,0.31,0.5,7.58,3,25,0.4,0.35,13.22
