NH4inf,NH4eff,NO2eff,NO3eff,Tneff,FA,FNA,Day,O2,pH,HRT,Temperature,NLR,NRR,NOB
129,63,2.8,17,82.8,1.14,0.92,189,0.82,7.5,55.2,13,0.06,0.02,0.14
86,31,1.6,21,53.6,0.3,1.33,258,0.49,7.1,38.4,13,0.05,0.02,0.15
160.58,14.97,0.75,11.02,26.74,0.91,0.56,155,1.16,7.05,4.7,20.7,0.82,0.68,0.06
134.13,16.04,0.75,11.46,28.26,0.67,0.59,192,1.22,7.05,3.7,19,0.87,0.69,0.08
129.5,23.98,0.75,13.07,37.8,0.56,0.62,224,1.22,7.05,3.7,17.1,0.84,0.59,0.41
132.58,13.07,0.75,7.45,21.27,0.5,0.66,247,1.5,7.05,3.7,15.2,0.86,0.72,0.21
112.54,4.54,0.75,8.08,13.36,0.4,0.67,297,2.18,7.05,3.7,14.4,0.73,0.64,0.1
141.54,11.05,0.75,10.25,22.04,0.55,0.65,332,2.37,7.05,4.3,15.6,0.79,0.67,0.31
152.29,10.01,0.75,11.05,21.81,0.7,0.61,375,2.39,7.05,4.3,18,0.85,0.73,0.06
131.25,3.11,0.75,13.22,17.08,0.7,0.58,424,2.27,7.05,3.5,19.9,0.9,0.78,0.29
108.75,8.37,0.75,11.64,20.77,0.58,0.58,487,2.29,7.05,2.9,20,0.9,0.73,0.11
120.38,11.11,0.75,6.74,18.6,0.64,0.58,537,2.08,7.05,2.7,19.8,1.07,0.9,0.24
111.38,25.02,0.75,4.57,30.34,0.51,0.61,589,1.74,7.05,2.7,17.9,0.99,0.72,0.25
119.17,2.81,0.75,5.67,9.23,0.43,0.67,616,1.74,7.05,2.6,14.7,1.1,1.01,0.49
92.96,5.85,0.75,3.32,9.92,0.29,0.7,639,1.53,7.05,2.3,13,0.97,0.87,0.71
92.96,16.04,0.75,3.79,20.59,0.29,0.7,679,1.57,7.05,2.3,13,0.97,0.76,0.73
112.5,19.01,0.75,3.71,23.47,0.4,0.67,723,1.53,7.05,2.7,14.4,1,0.79,0.44
108.33,13.99,0.75,5.73,20.47,0.43,0.64,759,1.53,7.05,2.6,16.1,1,0.81,0.83
53.75,5.07,0.75,8.58,14.4,0.27,0.59,828,0.99,7.05,3,19.1,0.43,0.31,0.11
121.83,13.16,0.75,9.18,23.08,0.66,0.57,869,0.76,7.05,6.8,20.2,0.43,0.35,0.04
127.08,7.45,0.75,9.26,17.47,0.54,0.62,922,0.99,7.05,6.1,17,0.5,0.43,0.05
127.08,1.33,0.75,6.38,8.46,0.54,0.62,983,0.99,7.05,6.1,17,0.5,0.47,0.44
127.08,4.3,0.75,8.19,13.24,0.54,0.62,998,0.99,7.05,6.1,17,0.5,0.45,0.19
517.2,20.49,2.41,49.83,72.73,19.09,0.47,64,0.25,7.5,48,33,0.26,0.22,0
475.07,32.4,1.52,45.2,79.12,17.53,0.3,118,0.4,7.5,24,33,0.48,0.4,0
503.08,18.95,3.07,51.15,73.17,18.57,0.6,168,0.4,7.5,24,33,0.5,0.43,0
33.4,6.1,1.2,0,7.3,0.14,1.5,57,0.28,6.78,4,25,0.2,0.16,0.1
35.1,4.7,1.5,0,6.2,0.2,1.07,108,0.48,7.08,4,20,0.21,0.17,0.1
30.9,7.4,1.9,0,9.3,0.12,1.52,151,1.17,7.09,4,15,0.19,0.13,0.2
238.81,25.49,51.76,25.49,102.74,29.53,1.96,145,0.05,8.3,8,25,0.72,0.41,0
585.47,44.69,25.49,44.69,114.87,133.62,0.47,196,0.09,8.61,16,25,0.88,0.71,0
615.7,236.67,25.49,55.8,317.97,84.37,0.86,231,0.05,8.35,16,25,0.92,0.45,0
323.46,27.51,25.49,29.53,82.53,49.06,0.77,300,0.04,8.4,16,25,0.49,0.36,0
307.34,29.53,25.49,27.51,82.53,32.16,1.16,350,0.02,8.22,16,25,0.46,0.34,0
50,5.65,0.72,7.61,13.98,1.34,0.14,100,0.13,7.6,2,25,0.6,0.43,8.2
27.29,1.86,0,4.29,6.15,0.22,0,33,0.15,7.4,19.29,14.83,0.03,0.03,0.17
18.77,0.2,0,13.18,13.37,0.16,0,49,0.45,7.4,20.07,15.35,0.02,0.01,0.31
17.57,1.79,0,7.96,9.75,0.15,0,65,1.19,7.4,9.4,15.88,0.04,0.02,0.55
21.18,1.75,0,6.69,8.44,0.18,0,79,1.19,7.4,8.88,15.14,0.06,0.03,0.55
22.57,0.43,0,7.42,7.85,0.23,0,97,1.19,7.4,6.91,17.94,0.08,0.05,0.39
22.3,1.25,0,8.5,9.75,0.19,0,117,0.18,7.4,9.03,15.4,0.06,0.03,0.4
20.63,2.13,0,3.9,6.03,0.18,0,131,0.18,7.4,11.11,15.83,0.04,0.03,0.81
24.24,2.29,0,7.34,9.63,0.2,0,148,0.18,7.4,10.59,15.14,0.05,0.03,0.57
26.74,0.62,0,8.66,9.29,0.22,0,168,0.18,7.4,12.19,14.95,0.05,0.03,0.46
29.24,5.22,0,2.83,8.05,0.24,0,197,0.18,7.4,12.45,15.09,0.06,0.04,0.47
30.08,1.52,0,4.91,6.42,0.26,0,219,0.18,7.4,11.67,15.57,0.06,0.05,0.76
34.52,1.36,0,7.34,8.7,0.29,0,247,0.18,7.4,13.11,15.26,0.06,0.05,0.74
27.03,2.63,0,4.37,7,0.25,0,261,0.18,7.4,11.78,16.76,0.06,0.04,0.59
21.74,2.52,0,1.59,4.11,0.18,0,274,0.18,7.4,10.07,15.44,0.05,0.04,0.56
20.9,2.09,0,0.66,2.75,0.18,0,303,0.18,7.4,11.67,15.35,0.04,0.04,0.87
21,2.32,0,0.62,2.95,0.18,0,317,0.18,7.4,12.97,15.22,0.04,0.03,0.78
21.09,2.63,0,0.32,2.95,0.18,0,342,0.18,7.4,14.82,15.35,0.03,0.03,0.71
21.36,2.75,0.59,0.16,3.5,0.2,0.22,352,0.17,7.4,22.45,16.76,0.02,0.02,0.59
23.03,1.52,1.63,0.28,3.42,0.2,0.63,391,1.22,7.4,12.3,15.52,0.04,0.04,0.6
20.34,1.25,1.82,0.89,3.96,0.18,0.7,401,1.22,7.4,11.67,15.66,0.04,0.03,1.35
31.46,1.36,3.83,0.74,5.93,0.27,1.49,418,1.21,7.4,10.22,15.44,0.07,0.06,0.54
17.28,1.28,1.59,0.28,3.15,0.15,0.62,434,1.21,7.4,9.67,15.4,0.04,0.04,0.8
19.24,1.09,2.63,0.82,4.54,0.23,0.91,461,1.58,7.4,7.32,19.74,0.06,0.05,1.79
25.35,0.74,2.79,1.52,5.05,0.26,1.02,475,1.58,7.4,8.62,17.77,0.07,0.06,1.45
23.03,0.55,2.94,2.17,5.66,0.2,1.13,490,1.58,7.4,18.62,15.88,0.03,0.02,1.44
19.13,0.74,2.29,2.05,5.09,0.18,0.86,496,1.58,7.4,11.52,16.58,0.04,0.03,1.3
15.72,1.13,0.93,1.36,3.42,0.13,0.37,501,1.58,7.4,11.67,15,0.03,0.03,1.47
22.39,1.09,0.51,0.82,2.42,0.19,0.2,516,0.18,7.4,16.65,15.49,0.03,0.03,2.09
31.29,1.25,1.4,0.39,3.03,0.27,0.54,549,0.18,7.4,10.85,15.83,0.07,0.06,1.29
34.63,1.36,1.9,0.28,3.54,0.28,0.75,565,0.18,7.4,11,14.69,0.08,0.07,0.86
44.9,10.31,0.83,1.56,12.7,0.77,0.25,35,0.25,7.4,17.5,25,0.06,0.05,0.25
44.9,6.11,0.68,7.57,14.36,0.77,0.2,70,0.25,7.4,17.5,25,0.06,0.04,0.4
44.9,2.48,0.63,20.38,23.5,0.77,0.19,95,0.25,7.4,17.5,25,0.06,0.03,0.18
100,3.18,15.69,9.61,28.48,15.17,0.73,62,0.13,8.1,24,35,0.1,0.07,0.04
200,17.12,3.18,31.06,51.36,30.34,0.15,106,0.13,8.1,24,35,0.2,0.15,1.24
67.89,4.73,1.01,9.59,15.34,2.01,0.14,264,1,7.8,1.3,20,1.25,0.97,3.55
72.15,0.67,0.61,12.16,13.44,2.13,0.08,320,1.8,7.8,1.3,20,1.33,1.08,1.61
110.05,37.07,1.04,53.41,91.52,8.78,0.08,69,0.22,7.94,74.08,30,0.18,0.03,0.9
116.05,26.79,7.05,11.1,44.94,9.26,0.54,195,0.28,7.94,9.48,30,0.19,0.11,3.4
250,52.45,4.52,29.1,86.07,30.92,0.27,14,0.07,8,6,35,1,0.66,0.6
50,22.14,5.34,15.58,43.06,6.18,0.31,46,0.04,8,4,35,0.3,0.04,8.74
100,77.85,188.47,14.76,281.09,4.2,35.02,61,0,7.5,6,35,1.2,0.08,3.23
250,120.46,9.03,18.04,147.53,30.92,0.53,90,0.1,8,6,35,1,0.41,0.99
250,55.73,6.16,29.1,90.99,30.92,0.36,114,0.17,8,6,35,1,0.64,0.05
250,15.41,1.85,20.6,37.86,12.06,0.26,25,0.25,7.65,4,32,1.5,1.27,0.6
50,5.77,1.85,7.12,14.74,2.41,0.26,110,0.05,7.65,2,32,0.6,0.42,2
50,12.51,1.85,12.69,27.06,0.73,0.41,190,0.04,7.65,2,15,0.6,0.28,3.2
50,8.34,1.55,7.42,17.31,2.41,0.22,250,0.08,7.65,2,32,0.6,0.39,4.2
46.32,1.47,1.47,6.32,9.25,1.87,0.19,45,1,7.75,12,26,0.09,0.07,2.25
46.96,23.76,7.78,8.55,40.1,1.89,1.02,45,1,7.75,12,26,0.09,0.01,0.59
45.41,13.13,4.47,18.31,35.91,1.83,0.58,45,1,7.75,12,26,0.09,0.02,26.96
46.12,4.42,6.94,13.06,24.42,1.86,0.91,45,1,7.75,12,26,0.09,0.04,4.34
500,309.76,2.94,19.73,332.43,21.46,0.43,27,0.07,7.65,12,30.23,1,0.34,0
50.25,1.9,1.22,45.47,48.59,3.28,0.09,35,0.77,8,2,25,0.6,0.02,3.2
49.52,7.24,2.18,5.55,14.97,3.23,0.16,120,0.25,8,2,25,0.6,0.42,3.8
495,23.3,13,49.1,85.4,47.6,0.65,25,0.3,8.18,12,25,0.99,0.82,0.02
502,25.3,4.9,34.3,64.5,84.14,0.13,81,0.01,8.45,12,25,1,0.88,0.02
963,12.1,2.5,71.8,86.4,102.9,0.11,102,0.1,8.23,24,25,0.96,0.88,0.22
1495,30.4,7.3,96.1,133.8,132.02,0.4,147,0.02,8.14,36,25,1,0.91,0.02
2000,207,57.1,66.6,330.7,194.63,2.98,171,0.2,8.16,50.5,25,1,0.85,0.11
251.99,131.04,36.55,1.89,169.49,24.08,2.56,5,0.15,7.95,12,32.5,0.5,0.17,0
